RUN	studydatalake.AdvDevStudyDataLake	advdevstudydatalake	1600472976124	 	3.3.1
USER	AdvDevStudyDataLake	155	START	1600472985944	1600472985944
REQUEST	134		request_1	1600472985004	1600472985972	OK	 
USER	AdvDevStudyDataLake	134	END	1600472985003	1600472985973
USER	AdvDevStudyDataLake	156	START	1600472985994	1600472985994
REQUEST	42		request_1	1600472980394	1600472986005	OK	 
USER	AdvDevStudyDataLake	42	END	1600472980393	1600472986005
REQUEST	39		request_1	1600472980215	1600472986034	OK	 
USER	AdvDevStudyDataLake	157	START	1600472986034	1600472986034
USER	AdvDevStudyDataLake	39	END	1600472980214	1600472986035
REQUEST	137		request_1	1600472985136	1600472986055	OK	 
REQUEST	136		request_1	1600472985095	1600472986055	OK	 
USER	AdvDevStudyDataLake	137	END	1600472985135	1600472986056
USER	AdvDevStudyDataLake	136	END	1600472985094	1600472986056
USER	AdvDevStudyDataLake	158	START	1600472986074	1600472986074
REQUEST	44		request_1	1600472980516	1600472986081	OK	 
USER	AdvDevStudyDataLake	44	END	1600472980515	1600472986082
REQUEST	43		request_1	1600472980456	1600472986099	OK	 
USER	AdvDevStudyDataLake	43	END	1600472980455	1600472986100
USER	AdvDevStudyDataLake	159	START	1600472986115	1600472986115
REQUEST	46		request_1	1600472980625	1600472986124	OK	 
USER	AdvDevStudyDataLake	46	END	1600472980625	1600472986125
REQUEST	138		request_1	1600472985183	1600472986143	OK	 
USER	AdvDevStudyDataLake	138	END	1600472985183	1600472986144
USER	AdvDevStudyDataLake	160	START	1600472986154	1600472986154
REQUEST	140		request_1	1600472985274	1600472986178	OK	 
USER	AdvDevStudyDataLake	140	END	1600472985273	1600472986178
USER	AdvDevStudyDataLake	161	START	1600472986194	1600472986194
REQUEST	52		request_1	1600472980975	1600472986205	OK	 
USER	AdvDevStudyDataLake	52	END	1600472980975	1600472986206
REQUEST	47		request_1	1600472980685	1600472986244	OK	 
USER	AdvDevStudyDataLake	162	START	1600472986244	1600472986244
USER	AdvDevStudyDataLake	47	END	1600472980684	1600472986245
REQUEST	51		request_1	1600472980915	1600472986273	OK	 
USER	AdvDevStudyDataLake	51	END	1600472980915	1600472986273
